country_name,iso3,source_group,include_on_map,notes
Afghanistan,AFG,survey_manual,TRUE,Added from Herat province response
Armenia,ARM,both,TRUE,
Austria,AUT,existing_map,TRUE,
Bangladesh,BGD,survey_manual,TRUE,
Botswana,BWA,survey_manual,TRUE,
Brazil,BRA,both,TRUE,
Central African Republic,CAF,both,TRUE,
Colombia,COL,both,TRUE,
Costa Rica,CRI,existing_map,TRUE,
Democratic Republic of the Congo,COD,survey_manual,TRUE,Added from North Kivu and Goma responses
Dominican Republic,DOM,survey_manual,TRUE,
Egypt,EGY,survey_manual,TRUE,
Equatorial Guinea,GNQ,existing_map,TRUE,
Eswatini,SWZ,survey_manual,TRUE,
Ethiopia,ETH,both,TRUE,
France,FRA,existing_map,TRUE,
Ghana,GHA,existing_map,TRUE,
Haiti,HTI,survey_manual,TRUE,
India,IND,survey_manual,TRUE,
Indonesia,IDN,both,TRUE,
Iraq,IRQ,existing_map,TRUE,
Kenya,KEN,both,TRUE,
Malawi,MWI,both,TRUE,
Mexico,MEX,both,TRUE,
Mozambique,MOZ,both,TRUE,
Myanmar,MMR,both,TRUE,
Nepal,NPL,both,TRUE,
Niger,NER,survey_manual,TRUE,
Nigeria,NGA,both,TRUE,
Pakistan,PAK,survey_manual,TRUE,
Philippines,PHL,both,TRUE,
Saint Lucia,LCA,survey_manual,TRUE,
Senegal,SEN,survey_manual,TRUE,
Sierra Leone,SLE,both,TRUE,
South Africa,ZAF,both,TRUE,
South Sudan,SSD,survey_manual,TRUE,
Sudan,SDN,both,TRUE,
Syria,SYR,survey_manual,TRUE,
Tanzania,TZA,both,TRUE,
Thailand,THA,survey_manual,TRUE,
Uganda,UGA,survey_manual,TRUE,
Ukraine,UKR,survey_manual,TRUE,
United Kingdom,GBR,existing_map,TRUE,
United States,USA,both,TRUE,
Venezuela,VEN,existing_map,TRUE,
Vietnam,VNM,both,TRUE,
Zambia,ZMB,both,TRUE,
